,Muscle Groups,Exercise,Sets,Reps
Chest + Shoulders + Triceps,,,,
,Chest + Shoulders + Triceps,Bench Press (Barbell),4,5
,Chest + Shoulders + Triceps,Incline Bench Press (Dumbbell),4,8
,Chest + Shoulders + Triceps,BtB Lateral Raises,4,15
,Chest + Shoulders + Triceps,Skull Crushers,3,8
Back + Biceps,,,,
,Back + Biceps,Deadlifts,4,5
,Back + Biceps,Rear Flies,4,15
,Back + Biceps,EZ-Bar Curls,3,8
,Back + Biceps,Bicep Curls,4,12
Chest + Shoulders,,,,
,Chest + Shoulders,Incline Bench Press (Barbell),3,8
,Chest + Shoulders,Dips,3,8
,Chest + Shoulders,Overhead Press (Dumbbell),3,10
,Chest + Shoulders,Cable Lateral Raises,5,12
,Chest + Shoulders,Rope Pulldowns,3,12
Back + Arms,,,,
,Back + Arms,Pull Ups,4,-
,Back + Arms,Rows (Barbell),4,8
,Back + Arms,Back Extensions,3,12
,Back + Arms,Hammer Curls,4,12
,Back + Arms,Cable Curls ,3,12
Legs,,,,
,Legs,Back Squats,4,5
,Legs,Split Squats,3,6
,Legs,Calf Raises,4,12

,,,Total Sets,Max Set Lift (lbs),Max Volume (lbs),Estimated 1RM (lbs)
Arms,,,,,,
,Arms,Bicep Curls,126,35,300,42
,Arms,Cable Curls,54,22,264,31
,Arms,Concentrated Curls,23,25,176,29
,Arms,Hammer Curls,107,40,330,48
,Arms,Rope Pulldowns,72,66,825,92
,Arms,Skull Crushers,75,75,900,105
,Arms,EZ-Bar Curls,33,60,480,76
Back,,,,,,
,Back,Back Extensions,9,25,300,35
,Back,Bent Over Row (Dumbbell),,,,
,Back,Deadlifts,110,335,2450,391
,Back,Pull Ups,,,,
,Back,Rear Flies,102,110,1200,139
,Back,Rows (Barbell),64,155,1240,196
,Back,Seated Cable Rows,18,165,1320,209
Chest,,,,,,
,Chest,Bench Press (Barbell),128,215,1550,251
,Chest,Bench Press (Dumbbell),,,,
,Chest,Chest Flies,57,140,1260,177
,Chest,Dips,57,25,200,32
,Chest,Incline Bench Press (Barbell),53,165,990,198
,Chest,Incline Bench Press (Dumbbell),95,75,600,95
Legs,,,,,,
,Legs,Back Squat,80,315,1575,368
,Legs,Bulgarian Split Squats,18,50,600,70
,Legs,Calf Raises,79,230,2760,322
,Legs,Front Squat,23,185,1480,234
,Legs,Leg Extensions,,,,
,Legs,Split Squat,57,185,2220,259
Shoulders,,,,,,
,Shoulders,Arnold Press,24,50,500,67
,Shoulders,BtB Lateral Raises,91,20,247.5,25
,Shoulders,Cable Lateral Raises,45,16.5,240,24
,Shoulders,Egyptian Raises,15,35,280,44
,Shoulders,"Lateral, Front, Rear Raises",21,17.5,262.5,26
,Shoulders,Overhead Press (Barbell),,,,
,Shoulders,Overhead Press (Dumbbell),71,65,600,76
,Shoulders,Rear Delt Flies,8,25,250,33
,Shoulders,Seated Lateral Raises,27,30,300,40
,Shoulders,Shrugs,29,80,1200,105

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
,February 2025,"Feb 6, 2025",3,12,15,10,,180,21
,February 2025,"Feb 6, 2025",4,12,12.5,9,,150,18
,February 2025,"Feb 16, 2025",1,12,17.5,10,,210,25
,February 2025,"Feb 16, 2025",2,12,15,8,,180,21
,February 2025,"Feb 16, 2025",3,12,15,9,,180,21
,February 2025,"Feb 16, 2025",4,12,15,9,,180,21
,February 2025,"Feb 22, 2025",1,12,20,10,,240,28
,February 2025,"Feb 22, 2025",2,12,17.5,9,,210,25
,February 2025,"Feb 22, 2025",3,12,17.5,10,,210,25
,February 2025,"Feb 22, 2025",4,12,15,7,,180,21
March 2025,,,4,,17.5,,,210,25
,March 2025,"Mar 2, 2025",1,12,17.5,8,,210,25
,March 2025,"Mar 2, 2025",2,12,17.5,9,,210,25
,March 2025,"Mar 2, 2025",3,12,15,8,,180,21
,March 2025,"Mar 2, 2025",4,12,15,8,,180,21
September 2025,,,8,,35,,,210,42
,September 2025,"Sep 18, 2025",1,6,35,6,,210,42
,September 2025,"Sep 18, 2025",2,6,35,7,,210,42
,September 2025,"Sep 18, 2025",3,6,35,7,,210,42
,September 2025,"Sep 18, 2025",4,6,25,4,,150,30
,September 2025,"Sep 27, 2025",1,6,30,5,,180,36
,September 2025,"Sep 27, 2025",2,6,35,7,,210,42
,September 2025,"Sep 27, 2025",3,6,35,8,,210,42
,September 2025,"Sep 27, 2025",4,6,35,7,,210,42
October 2025,,,4,,35,,,210,42
,October 2025,"Oct 26, 2025",1,6,30,5,,180,36
,October 2025,"Oct 26, 2025",2,6,35,7,,210,42
,October 2025,"Oct 26, 2025",3,6,35,8,,210,42
,October 2025,"Oct 26, 2025",4,6,35,8,,210,42
November 2025,,,15,,40,,,280,48
,November 2025,"Nov 1, 2025",1,6,35,6,,210,42
,November 2025,"Nov 1, 2025",2,6,35,7,,210,42
,November 2025,"Nov 1, 2025",3,6,35,7,,210,42
,November 2025,"Nov 1, 2025",4,6,35,7,,210,42
,November 2025,"Nov 4, 2025",1,8,35,7,,280,44
,November 2025,"Nov 4, 2025",2,6,40,8,,240,48
,November 2025,"Nov 4, 2025",3,6,40,9,,240,48
,November 2025,"Nov 4, 2025",4,6,40,9,,240,48
,November 2025,"Nov 4, 2025",5,12,15,10,,180,21
,November 2025,"Nov 4, 2025",6,12,15,9,,180,21
,November 2025,"Nov 4, 2025",7,12,15,10,,180,21
,November 2025,"Nov 25, 2025",1,7,30,8,,210,37
,November 2025,"Nov 25, 2025",2,6,30,5,,180,36
,November 2025,"Nov 25, 2025",3,6,35,8,,210,42
,November 2025,"Nov 25, 2025",4,6,35,7,,210,42
December 2025,,,8,,40,,,240,48
,December 2025,"Dec 3, 2025",1,6,35,6,,210,42
,December 2025,"Dec 3, 2025",2,6,35,6,,210,42
,December 2025,"Dec 3, 2025",3,6,40,8,,240,48
,December 2025,"Dec 3, 2025",4,6,40,9,,240,48
,December 2025,"Dec 16, 2025",1,6,35,7,,210,42
,December 2025,"Dec 16, 2025",2,6,40,9,,240,48
,December 2025,"Dec 16, 2025",3,6,35,8,,210,42
,December 2025,"Dec 16, 2025",4,6,35,8,,210,42
January 2026,,,16,,37.5,,,300,45
,January 2026,"Jan 4, 2026",1,6,35,7,,210,42
,January 2026,"Jan 4, 2026",2,6,35,7,,210,42
,January 2026,"Jan 4, 2026",3,6,35,7,,210,42
,January 2026,"Jan 4, 2026",4,6,37.5,9,,225,45
,January 2026,"Jan 12, 2026",1,6,35,7,,210,42
,January 2026,"Jan 12, 2026",2,6,35,7,,210,42
,January 2026,"Jan 12, 2026",3,6,35,7,,210,42
,January 2026,"Jan 12, 2026",4,6,35,7,,210,42
,January 2026,"Jan 25, 2026",1,6,35,6,,210,42
,January 2026,"Jan 25, 2026",2,6,37.5,8,,225,45
,January 2026,"Jan 25, 2026",3,6,37.5,9,,225,45
,January 2026,"Jan 25, 2026",4,6,35,8,,210,42
,January 2026,"Jan 29, 2026",1,12,25,7,,300,35
,January 2026,"Jan 29, 2026",2,12,22.5,8,,270,32
,January 2026,"Jan 29, 2026",3,12,22.5,8,,270,32
,January 2026,"Jan 29, 2026",4,12,20,7,,240,28
February 2026,,,12,,25,,,300,35
,February 2026,"Feb 6, 2026",1,12,20,6,,240,28
,February 2026,"Feb 6, 2026",2,12,25,7,,300,35
,February 2026,"Feb 6, 2026",3,12,25,8,,300,35
,February 2026,"Feb 6, 2026",4,12,25,8,,300,35
,February 2026,"Feb 15, 2026",1,12,25,6,,300,35
,February 2026,"Feb 15, 2026",2,12,25,8,,300,35
,February 2026,"Feb 15, 2026",3,12,25,9,,300,35
,February 2026,"Feb 15, 2026",4,12,15,8,,180,21
,February 2026,"Feb 24, 2026",1,12,25,7,,300,35
,February 2026,"Feb 24, 2026",2,12,25,8,,300,35
,February 2026,"Feb 24, 2026",3,12,25,9,,300,35
,February 2026,"Feb 24, 2026",4,12,15,7,,180,21
March 2026,,,4,,27.5,,,330,39
,March 2026,"Mar 27, 2026",1,12,25,6,,300,35
,March 2026,"Mar 27, 2026",2,12,25,6,,300,35
,March 2026,"Mar 27, 2026",3,12,27.5,8,,330,39
,March 2026,"Mar 27, 2026",4,12,15,7,,180,21
April 2026,,,12,,25,,,300,35
,April 2026,"Apr 3, 2026",1,12,25,6,,300,35
,April 2026,"Apr 3, 2026",2,12,25,7,,300,35
,April 2026,"Apr 3, 2026",3,12,25,7,,300,35
,April 2026,"Apr 3, 2026",4,12,17.5,6,,210,25
,April 2026,"Apr 18, 2026",1,12,25,6,,300,35
,April 2026,"Apr 18, 2026",2,12,25,8,,300,35
,April 2026,"Apr 18, 2026",3,12,25,8,,300,35
,April 2026,"Apr 18, 2026",4,12,25,8,,300,35
,April 2026,"Apr 27, 2026",1,12,25,5,,300,35
,April 2026,"Apr 27, 2026",2,12,25,7,,300,35
,April 2026,"Apr 27, 2026",3,12,25,7,,300,35
,April 2026,"Apr 27, 2026",4,12,25,10,,300,35
May 2026,,,4,,27.5,,,330,39
,May 2026,"May 7, 2026",1,12,25,4,,300,35
,May 2026,"May 7, 2026",2,12,27.5,7,,330,39
,May 2026,"May 7, 2026",3,12,27.5,8,,330,39
,May 2026,"May 7, 2026",4,12,27.5,10,,330,39

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
January 2025,,,4,,15,,,180,21
,January 2025,"Jan 22, 2025",1,12,10,2,,120,14
,January 2025,"Jan 22, 2025",2,12,15,6,,180,21
,January 2025,"Jan 22, 2025",3,12,15,7,,180,21
,January 2025,"Jan 22, 2025",4,12,15,9,,180,21
February 2025,,,16,,20,,,240,28
,February 2025,"Feb 1, 2025",1,12,15,5,,180,21
,February 2025,"Feb 1, 2025",2,12,15,7,,180,21
,February 2025,"Feb 1, 2025",3,12,15,9,,180,21
,February 2025,"Feb 1, 2025",4,12,15,10,,180,21
,February 2025,"Feb 6, 2025",1,12,15,6,,180,21
,February 2025,"Feb 6, 2025",2,12,15,8,,180,21
,February 2025,"Feb 6, 2025",3,12,15,9,,180,21
,February 2025,"Feb 6, 2025",4,12,15,10,,180,21
,February 2025,"Feb 16, 2025",1,12,15,4,,180,21
,February 2025,"Feb 16, 2025",2,12,17.5,8,,210,25
,February 2025,"Feb 16, 2025",3,12,17.5,9,,210,25
,February 2025,"Feb 16, 2025",4,12,17.5,10,,210,25
,February 2025,"Feb 22, 2025",1,12,17.5,5,,210,25
,February 2025,"Feb 22, 2025",2,12,17.5,6,,210,25
,February 2025,"Feb 22, 2025",3,12,20,10,,240,28
,February 2025,"Feb 22, 2025",4,12,20,10,,240,28
March 2025,,,4,,20,,,240,28
,March 2025,"Mar 2, 2025",1,12,20,8,,240,28
,March 2025,"Mar 2, 2025",2,12,20,10,,240,28
,March 2025,"Mar 2, 2025",3,12,17.5,9,,210,25
,March 2025,"Mar 2, 2025",4,12,17.5,9,,210,25
September 2025,,,8,,35,,,210,42
,September 2025,"Sep 18, 2025",1,6,35,5,,210,42
,September 2025,"Sep 18, 2025",2,6,35,5,,210,42
,September 2025,"Sep 18, 2025",3,6,35,9,,210,42
,September 2025,"Sep 18, 2025",4,6,25,8,,150,30
,September 2025,"Sep 27, 2025",1,6,25,4,,150,30
,September 2025,"Sep 27, 2025",2,6,27.5,5,,165,33
,September 2025,"Sep 27, 2025",3,6,30,8,,180,36
,September 2025,"Sep 27, 2025",4,6,30,8,,180,36
October 2025,,,4,,30,,,180,36
,October 2025,"Oct 26, 2025",1,6,27.5,7,,165,33
,October 2025,"Oct 26, 2025",2,6,27.5,7,,165,33
,October 2025,"Oct 26, 2025",3,6,30,7,,180,36
,October 2025,"Oct 26, 2025",4,6,30,8,,180,36
November 2025,,,19,,35,,,210,42
,November 2025,"Nov 1, 2025",1,6,30,7,,180,36
,November 2025,"Nov 1, 2025",2,6,30,7,,180,36
,November 2025,"Nov 1, 2025",3,6,30,8,,180,36
,November 2025,"Nov 1, 2025",4,6,30,8,,180,36
,November 2025,"Nov 4, 2025",1,6,30,7,,180,36
,November 2025,"Nov 4, 2025",2,6,30,8,,180,36
,November 2025,"Nov 4, 2025",3,6,30,8,,180,36
,November 2025,"Nov 4, 2025",4,6,35,9,,210,42
,November 2025,"Nov 4, 2025",5,12,15,10,,180,21
,November 2025,"Nov 4, 2025",6,12,15,9,,180,21
,November 2025,"Nov 4, 2025",6,12,15,10,,180,21
,November 2025,"Nov 25, 2025",1,6,30,9,,180,36
,November 2025,"Nov 25, 2025",2,6,27.5,8,,165,33
,November 2025,"Nov 25, 2025",3,6,27.5,8,,165,33
,November 2025,"Nov 25, 2025",4,6,27.5,9,,165,33
,November 2025,"Nov 29, 2025",1,6,30,6,,180,36
,November 2025,"Nov 29, 2025",2,6,30,7,,180,36
,November 2025,"Nov 29, 2025",3,6,30,8,,180,36
,November 2025,"Nov 29, 2025",4,6,30,8,,180,36
December 2025,,,12,,35,,,210,42
,December 2025,"Dec 7, 2025",1,6,30,6,,180,36
,December 2025,"Dec 7, 2025",2,6,30,7,,180,36
,December 2025,"Dec 7, 2025",3,6,32.5,7,,195,39
,December 2025,"Dec 7, 2025",4,6,35,9,,210,42
,December 2025,"Dec 13, 2025",1,6,32.5,5,,195,39
,December 2025,"Dec 13, 2025",2,6,35,8,,210,42
,December 2025,"Dec 13, 2025",3,6,35,8,,210,42
,December 2025,"Dec 13, 2025",4,6,35,8,,210,42
,December 2025,"Dec 16, 2025",1,6,30,4,,180,36
,December 2025,"Dec 16, 2025",2,6,35,7,,210,42
,December 2025,"Dec 16, 2025",3,6,35,8,,210,42
,December 2025,"Dec 16, 2025",4,6,35,9,,210,42
January 2026,,,15,,35,,,210,42
,January 2026,"Jan 2, 2026",1,6,30,3,,180,36
,January 2026,"Jan 2, 2026",2,6,35,8,,210,42
,January 2026,"Jan 2, 2026",3,6,35,9,,210,42
,January 2026,"Jan 2, 2026",4,6,32.5,8,,195,39
,January 2026,"Jan 9, 2026",1,6,32.5,5,,195,39
,January 2026,"Jan 9, 2026",2,6,35,8,,210,42
,January 2026,"Jan 9, 2026",3,6,35,9,,210,42
,January 2026,"Jan 9, 2026",4,6,32.5,8,,195,39
,January 2026,"Jan 22, 2026",1,6,30,7,,180,36
,January 2026,"Jan 22, 2026",2,6,30,7,,180,36
,January 2026,"Jan 22, 2026",3,6,32.5,8,,195,39
,January 2026,"Jan 22, 2026",4,6,32.5,8,,195,39
,January 2026,"Jan 27, 2026",1,12,17.5,7,,210,25
,January 2026,"Jan 27, 2026",2,12,17.5,8,,210,25
,January 2026,"Jan 27, 2026",3,12,17.5,8,,210,25
February 2026,,,12,,20,,,240,28
,February 2026,"Feb 4, 2026",1,12,15,4,,180,21
,February 2026,"Feb 4, 2026",2,12,20,8,,240,28
,February 2026,"Feb 4, 2026",3,12,20,8,,240,28
,February 2026,"Feb 4, 2026",4,12,15,8,,180,21
,February 2026,"Feb 9, 2026",1,12,20,8,,240,28
,February 2026,"Feb 9, 2026",2,12,20,8,,240,28
,February 2026,"Feb 9, 2026",3,12,15,6,,180,21
,February 2026,"Feb 9, 2026",4,12,15,8,,180,21
,February 2026,"Feb 21, 2026",1,12,20,9,,240,28
,February 2026,"Feb 21, 2026",2,12,17.5,8,,210,25
,February 2026,"Feb 21, 2026",3,12,15,6,,180,21
,February 2026,"Feb 21, 2026",4,12,15,8,,180,21
March 2026,,,12,,25,,,300,35
,March 2026,"Mar 1, 2026",1,12,20,7,,240,28
,March 2026,"Mar 1, 2026",2,12,20,7,,240,28
,March 2026,"Mar 1, 2026",3,12,20,8,,240,28
,March 2026,"Mar 1, 2026",4,12,15,9,,180,21
,March 2026,"Mar 8, 2026",1,12,20,8,,240,28
,March 2026,"Mar 8, 2026",2,12,20,8,,240,28
,March 2026,"Mar 8, 2026",3,12,20,8,,240,28
,March 2026,"Mar 8, 2026",4,12,15,8,,180,21
,March 2026,"Mar 22, 2026",1,12,25,9,,300,35
,March 2026,"Mar 22, 2026",2,12,20,7,,240,28
,March 2026,"Mar 22, 2026",3,12,20,8,,240,28
,March 2026,"Mar 22, 2026",4,12,15,7,,180,21
April 2026,,,12,,25,,,300,35
,April 2026,"Apr 5, 2026",1,12,25,8,,300,35
,April 2026,"Apr 5, 2026",2,12,20,7,,240,28
,April 2026,"Apr 5, 2026",3,12,20,7,,240,28
,April 2026,"Apr 5, 2026",4,12,15,8,,180,21
,April 2026,"Apr 12, 2026",1,12,25,8,,300,35
,April 2026,"Apr 12, 2026",2,12,20,6,,240,28
,April 2026,"Apr 12, 2026",3,12,20,7,,240,28
,April 2026,"Apr 12, 2026",4,12,15,8,,180,21
,April 2026,"Apr 23, 2026",1,12,25,9,,300,35
,April 2026,"Apr 23, 2026",2,12,20,8,,240,28
,April 2026,"Apr 23, 2026",3,12,17.5,8,,210,25
,April 2026,"Apr 23, 2026",4,12,15,7,,180,21
May 2026,,,8,,25,,,300,35
,May 2026,"May 3, 2026",1,12,25,9,,300,35
,May 2026,"May 3, 2026",2,12,20,8,,240,28
,May 2026,"May 3, 2026",3,12,20,8,,240,28
,May 2026,"May 3, 2026",4,12,20,10,,240,28
,May 2026,"May 15, 2026",1,12,25,8,,300,35
,May 2026,"May 15, 2026",2,12,25,9,,300,35
,May 2026,"May 15, 2026",3,12,22.5,8,,270,32
,May 2026,"May 15, 2026",4,12,22.5,,,270,32

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
January 2025,,,4,,75,,,600,95
,January 2025,"Jan 22, 2025",1,8,70,7,,560,89
,January 2025,"Jan 22, 2025",2,8,70,7,,560,89
,January 2025,"Jan 22, 2025",3,8,75,8,,600,95
,January 2025,"Jan 22, 2025",4,8,75,8,,600,95
February 2025,,,16,,110,,,1000,139
,February 2025,"Feb 1, 2025",1,9,75,4,,675,98
,February 2025,"Feb 1, 2025",2,8,85,6,,680,108
,February 2025,"Feb 1, 2025",3,8,95,7,,760,120
,February 2025,"Feb 1, 2025",4,8,100,8,,800,127
,February 2025,"Feb 6, 2025",1,8,100,7,,800,127
,February 2025,"Feb 6, 2025",2,8,100,8,,800,127
,February 2025,"Feb 6, 2025",3,8,100,8,,800,127
,February 2025,"Feb 6, 2025",4,8,100,9,,800,127
,February 2025,"Feb 16, 2025",1,8,100,7,,800,127
,February 2025,"Feb 16, 2025",2,8,100,8,,800,127
,February 2025,"Feb 16, 2025",3,8,100,9,,800,127
,February 2025,"Feb 16, 2025",4,8,100,10,,800,127
,February 2025,"Feb 22, 2025",1,10,100,7,,1000,133
,February 2025,"Feb 22, 2025",2,8,105,7,,840,133
,February 2025,"Feb 22, 2025",3,8,110,8,,880,139
,February 2025,"Feb 22, 2025",4,8,110,9,,880,139
March 2025,,,4,,90,,,720,114
,March 2025,"Mar 2, 2025",1,8,90,8,,720,114
,March 2025,"Mar 2, 2025",2,8,90,8,,720,114
,March 2025,"Mar 2, 2025",3,8,90,8,,720,114
,March 2025,"Mar 2, 2025",4,8,90,8,,720,114
September 2025,,,6,,90,,,720,114
,September 2025,"Sep 16, 2025",1,8,90,8,,720,114
,September 2025,"Sep 16, 2025",2,8,80,7,,640,101
,September 2025,"Sep 16, 2025",3,8,70,7,,560,89
,September 2025,"Sep 25, 2025",1,8,70,3,,560,89
,September 2025,"Sep 25, 2025",2,9,80,7,,720,104
,September 2025,"Sep 25, 2025",3,8,80,6,,640,101
October 2025,,,3,,100,,,800,127
,October 2025,"Oct 25, 2025",1,8,80,6,,640,101
,October 2025,"Oct 25, 2025",2,8,90,7,,720,114
,October 2025,"Oct 25, 2025",3,8,100,8,,800,127
November 2025,,,12,,110,,,880,139
,November 2025,"Nov 2, 2025",1,8,100,8,,800,127
,November 2025,"Nov 2, 2025",2,8,100,8,,800,127
,November 2025,"Nov 2, 2025",3,8,100,8,,800,127
,November 2025,"Nov 9, 2025",1,8,100,8,,800,127
,November 2025,"Nov 9, 2025",2,8,100,8,,800,127
,November 2025,"Nov 9, 2025",3,8,100,8,,800,127
,November 2025,"Nov 23, 2025",1,8,100,6,,800,127
,November 2025,"Nov 23, 2025",2,8,100,8,,800,127
,November 2025,"Nov 23, 2025",3,8,100,9,,800,127
,November 2025,"Nov 29, 2025",1,8,100,4,,800,127
,November 2025,"Nov 29, 2025",2,8,110,7,,880,139
,November 2025,"Nov 29, 2025",3,8,110,7,,880,139
December 2025,,,3,,110,,,880,139
,December 2025,"Dec 7, 2025",1,8,110,10,,880,139
,December 2025,"Dec 7, 2025",2,8,100,9,,800,127
,December 2025,"Dec 7, 2025",3,8,90,9,,720,114
January 2026,,,15,,110,,,1050,139
,January 2026,"Jan 2, 2026",1,8,90,6,,720,114
,January 2026,"Jan 2, 2026",2,8,100,7,,800,127
,January 2026,"Jan 2, 2026",3,8,110,8,,880,139
,January 2026,"Jan 9, 2026",1,8,110,7,,880,139
,January 2026,"Jan 9, 2026",2,8,110,7,,880,139
,January 2026,"Jan 9, 2026",3,8,110,7,,880,139
,January 2026,"Jan 9, 2026",4,8,110,9,,880,139
,January 2026,"Jan 25, 2026",1,8,110,9,,880,139
,January 2026,"Jan 25, 2026",2,8,100,9,,800,127
,January 2026,"Jan 25, 2026",3,8,90,8,,720,114
,January 2026,"Jan 25, 2026",4,8,90,8,,720,114
,January 2026,"Jan 27, 2026",1,15,60,5,,900,90
,January 2026,"Jan 27, 2026",2,15,70,8,,1050,105
,January 2026,"Jan 27, 2026",3,15,60,8,,900,90
,January 2026,"Jan 27, 2026",4,15,60,10,,900,90
February 2026,,,12,,70,,,1050,105
,February 2026,"Feb 6, 2026",1,15,60,4,,900,90
,February 2026,"Feb 6, 2026",2,15,70,7,,1050,105
,February 2026,"Feb 6, 2026",3,15,70,9,,1050,105
,February 2026,"Feb 6, 2026",4,15,65,10,,975,98
,February 2026,"Feb 9, 2026",1,15,70,5,,1050,105
,February 2026,"Feb 9, 2026",2,15,70,7,,1050,105
,February 2026,"Feb 9, 2026",3,15,70,8,,1050,105
,February 2026,"Feb 9, 2026",4,15,70,10,,1050,105
,February 2026,"Feb 24, 2026",1,15,70,6,,1050,105
,February 2026,"Feb 24, 2026",2,15,70,7,,1050,105
,February 2026,"Feb 24, 2026",3,15,70,7,,1050,105
,February 2026,"Feb 24, 2026",4,15,70,8,,1050,105
March 2026,,,12,,75,,,1125,113
,March 2026,"Mar 1, 2026",1,15,70,6,,1050,105
,March 2026,"Mar 1, 2026",2,15,70,7,,1050,105
,March 2026,"Mar 1, 2026",3,15,70,8,,1050,105
,March 2026,"Mar 1, 2026",4,15,70,9,,1050,105
,March 2026,"Mar 8, 2026",1,15,70,5,,1050,105
,March 2026,"Mar 8, 2026",2,15,70,7,,1050,105
,March 2026,"Mar 8, 2026",3,15,70,8,,1050,105
,March 2026,"Mar 8, 2026",4,15,70,8,,1050,105
,March 2026,"Mar 22, 2026",1,15,70,2,,1050,105
,March 2026,"Mar 22, 2026",2,15,70,6,,1050,105
,March 2026,"Mar 22, 2026",3,15,75,8,,1125,113
,March 2026,"Mar 22, 2026",4,15,75,9,,1125,113
April 2026,,,7,,75,,,1125,113
,April 2026,"Apr 5, 2026",1,15,75,6,,1125,113
,April 2026,"Apr 5, 2026",2,15,75,7,,1125,113
,April 2026,"Apr 5, 2026",3,15,75,9,,1125,113
,April 2026,"Apr 23, 2026",1,15,75,5,,1125,113
,April 2026,"Apr 23, 2026",2,15,75,6,,1125,113
,April 2026,"Apr 23, 2026",3,15,75,7,,1125,113
,April 2026,"Apr 23, 2026",4,15,70,10,,1050,105
May 2026,,,8,,80,,,1200,120
,May 2026,"May 5, 2026",1,15,70,4,,1050,105
,May 2026,"May 5, 2026",2,15,75,7,,1125,113
,May 2026,"May 5, 2026",3,15,75,8,,1125,113
,May 2026,"May 5, 2026",4,15,75,9,,1125,113
,May 2026,"May 15, 2026",1,15,75,4,,1125,113
,May 2026,"May 15, 2026",2,15,80,6,,1200,120
,May 2026,"May 15, 2026",3,15,80,8,,1200,120
,May 2026,"May 15, 2026",4,15,80,7,,1200,120

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
January 2025,,,6,,185,,,1850,247
,January 2025,"Jan 22, 2025",1,10,95,3,,950,127
,January 2025,"Jan 22, 2025",2,10,115,4,,1150,153
,January 2025,"Jan 22, 2025",3,10,135,6,,1350,180
,January 2025,"Jan 25, 2025",1,10,135,5,,1350,180
,January 2025,"Jan 25, 2025",2,10,155,6,,1550,207
,January 2025,"Jan 25, 2025",3,10,185,8,,1850,247
February 2025,,,9,,225,,,2250,300
,February 2025,"Feb 6, 2025",1,10,155,6,,1550,207
,February 2025,"Feb 6, 2025",2,10,185,7,,1850,247
,February 2025,"Feb 6, 2025",3,10,205,8,,2050,273
,February 2025,"Feb 16, 2025",1,10,185,6,,1850,247
,February 2025,"Feb 16, 2025",2,10,225,8,,2250,300
,February 2025,"Feb 16, 2025",3,10,225,8,,2250,300
,February 2025,"Feb 22, 2025",1,10,185,5,,1850,247
,February 2025,"Feb 22, 2025",2,10,225,7,,2250,300
,February 2025,"Feb 22, 2025",3,10,225,8,,2250,300
March 2025,,,3,,245,,,2450,327
,March 2025,"Mar 2, 2025",1,10,225,6,,2250,300
,March 2025,"Mar 2, 2025",2,10,245,8,,2450,327
,March 2025,"Mar 2, 2025",3,10,245,9,,2450,327
September 2025,,,8,,295,,,1475,344
,September 2025,"Sep 16, 2025",1,5,225,3,,1125,263
,September 2025,"Sep 16, 2025",2,5,275,9,,1375,321
,September 2025,"Sep 16, 2025",3,5,275,9,,1375,321
,September 2025,"Sep 16, 2025",4,5,275,9,,1375,321
,September 2025,"Sep 25, 2025",1,5,225,2,,1125,263
,September 2025,"Sep 25, 2025",2,5,275,8,,1375,321
,September 2025,"Sep 25, 2025",3,5,275,8,,1375,321
,September 2025,"Sep 25, 2025",4,5,295,10,,1475,344
October 2025,,,4,,275,,,1375,321
,October 2025,"Oct 25, 2025",1,5,225,5,,1125,263
,October 2025,"Oct 25, 2025",2,5,275,8,,1375,321
,October 2025,"Oct 25, 2025",3,5,275,8,,1375,321
,October 2025,"Oct 25, 2025",4,5,275,8,,1375,321
November 2025,,,16,,315,,,1575,368
,November 2025,"Nov 2, 2025",1,5,225,6,,1125,263
,November 2025,"Nov 2, 2025",2,5,275,8,,1375,321
,November 2025,"Nov 2, 2025",3,5,275,8,,1375,321
,November 2025,"Nov 2, 2025",4,5,275,8,,1375,321
,November 2025,"Nov 9, 2025",1,5,225,5,,1125,263
,November 2025,"Nov 9, 2025",2,5,275,8,,1375,321
,November 2025,"Nov 9, 2025",3,5,275,8,,1375,321
,November 2025,"Nov 9, 2025",4,5,275,8,,1375,321
,November 2025,"Nov 23, 2025",1,5,225,4,,1125,263
,November 2025,"Nov 23, 2025",2,5,275,7,,1375,321
,November 2025,"Nov 23, 2025",3,5,275,7,,1375,321
,November 2025,"Nov 23, 2025",4,5,295,9,,1475,344
,November 2025,"Nov 29, 2025",1,5,225,5,,1125,263
,November 2025,"Nov 29, 2025",2,5,275,6,,1375,321
,November 2025,"Nov 29, 2025",3,5,295,7,,1475,344
,November 2025,"Nov 29, 2025",4,5,315,8,,1575,368
December 2025,,,4,,315,,,1575,368
,December 2025,"Dec 7, 2025",1,5,245,5,,1225,286
,December 2025,"Dec 7, 2025",2,5,275,7,,1375,321
,December 2025,"Dec 7, 2025",3,5,315,9,,1575,368
,December 2025,"Dec 7, 2025",4,5,315,10,,1575,368
January 2026,,,16,,315,,,1575,368
,January 2026,"Jan 2, 2026",1,5,225,4,,1125,263
,January 2026,"Jan 2, 2026",2,5,275,7,,1375,321
,January 2026,"Jan 2, 2026",3,5,295,8,,1475,344
,January 2026,"Jan 2, 2026",4,5,295,8,,1475,344
,January 2026,"Jan 9, 2026",1,5,225,3,,1125,263
